,four_year_resale_value,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Power_perf_factor,Manufacturer_Audi,Manufacturer_BMW,Manufacturer_Buick,Manufacturer_Cadillac,Manufacturer_Chevrolet,Manufacturer_Chrysler,Manufacturer_Dodge,Manufacturer_Ford,Manufacturer_Honda,Manufacturer_Hyundai,Manufacturer_Infiniti,Manufacturer_Jaguar,Manufacturer_Jeep,Manufacturer_Lexus,Manufacturer_Lincoln,Manufacturer_Mercedes-B,Manufacturer_Mercury,Manufacturer_Mitsubishi,Manufacturer_Nissan,Manufacturer_Oldsmobile,Manufacturer_Plymouth,Manufacturer_Pontiac,Manufacturer_Porsche,Manufacturer_Saab,Manufacturer_Saturn,Manufacturer_Subaru,Manufacturer_Toyota,Manufacturer_Volkswagen,Manufacturer_Volvo,Vehicle_type_Passenger,ln_sales_in_thousands
four_year_resale_value,1.0,0.7839278379321785,0.4622973113757103,0.6700612880083525,-0.05022006553357678,0.16540967281415445,0.037985412466492785,0.2688678673441018,0.2600779366683958,-0.33475845086982287,0.7133305796073486,0.15255289357040025,0.12581983343647513,-0.035682293670325466,0.07812921830153188,-0.09343257350902749,-0.049615774656430925,-0.015490509097435823,-0.11117328304576224,-0.02901803812250233,-0.13272966839051753,0.01980420546479436,-0.023675881894805868,-0.025132540424385116,0.12732033445908084,0.02241837442789675,0.250479913843074,-0.06307196730430632,-0.06213208428917932,-0.07251925255062162,-0.02759341214726261,-0.09946702479565872,-0.06477467599666091,0.5405490999566902,-0.03359058851014763,-0.09639174674148518,-0.03359058851014759,-0.019397545313049106,-0.056244760335922586,-0.058946173165139115,0.0850035298328571,-0.43143838995630696
Price_in_thousands,0.7839278379321785,1.0,0.6262644250710533,0.8367198083188164,0.11072651569398863,0.32954642802884077,0.15596825570637474,0.5227696980481173,0.423697331058372,-0.4924159526773252,0.8979451528259388,0.1241126005673119,0.05656626596418742,-0.0062639370333613135,0.16477331789048558,-0.1267301060031356,-0.06062655412758483,-0.06018465277728732,-0.12129059186572864,-0.08996612614384644,-0.14883019838128403,0.012005440522331295,0.08706974063686404,-0.062220423678062534,0.2343674410212337,0.14089287642755532,0.44357641437065615,-0.09227306166515922,-0.07844447434532331,-0.07550881359829456,-0.023957452525650267,-0.053313564906859415,-0.06142861202289791,0.3448402838127757,0.0181909674851156,-0.16655245546607697,-0.047417430800046255,-0.09274615989388187,-0.13501849358135615,0.05046865114351835,0.04590211442304587,-0.5551395771714114
Engine_size,0.4622973113757103,0.6262644250710533,1.0,0.8373467455373856,0.47214295225661784,0.6903885233654249,0.5413998581616386,0.7541201834428972,0.6630074158290574,-0.7338985161119395,0.8181656322306089,-0.017100680157890014,-0.04847571770967811,0.08793222815485494,0.25152386445279495,-0.0011769377073689526,-0.05124372505715257,0.17151084096234834,0.07054284834510652,-0.09444387228966465,-0.1470829785867266,-0.00466733373261021,-0.00466733373261021,0.05909583961073831,0.106805065144161,0.24286391669978316,0.08593326603375498,0.017185850337187853,-0.05421684583836972,-0.030431879588634317,0.07479820271309923,-0.09120643241901315,0.07159751646999303,0.014274357393898134,-0.09964163796024576,-0.18180946237614415,-0.061339378387559394,-0.10412536031051538,-0.21006287292335066,-0.1460491480612271,-0.25591197515452946,-0.1275550465130939
Horsepower,0.6700612880083525,0.8367198083188164,0.8373467455373856,1.0,0.28634487379714535,0.5392331763684043,0.39329379916294016,0.6046435278800181,0.49999616537494784,-0.6104429611755716,0.9904422689005996,0.08448645604914629,-0.0013911456173934364,0.058415080720758426,0.22567338825052655,-0.06470589310659493,0.024777296719649195,0.06650244661724443,-0.07699355348990551,-0.08206994695410764,-0.14672247151461468,0.05841184424918834,0.07688531974505786,-0.04350420028079286,0.2120606372572945,0.1918334581323212,0.20276598844894553,-0.07805327766428917,-0.07956680056838723,-0.06477787339370465,0.01452372364198879,-0.054942072714204496,-0.0031661492190833045,0.21412860471882686,-0.01692514750524357,-0.21340810674855337,-0.04212666645747488,-0.11041926922699595,-0.23018618426950962,-0.013190410507024275,-0.0030391820123514086,-0.38916911762087125
Wheelbase,-0.05022006553357678,0.11072651569398863,0.47214295225661784,0.28634487379714535,1.0,0.6831305601529915,0.839606471124428,0.6499843194303814,0.6540364942824098,-0.4968075055864974,0.25895771151503966,0.011322386730516255,0.0217392947566274,0.07487461488802755,0.10978598475336353,-0.115324225023149,0.04597641469446012,0.25988319703350127,0.1885654098783775,0.0018136384198959323,-0.12042086183500826,0.008603953889182794,0.0739832569003503,-0.13328880704373366,0.03498603076031817,0.14245287600038745,-0.03593136182655312,0.06561587845058392,-0.12432971109222098,-0.00930194594274362,0.08268107930658906,0.051449169251864796,0.043737415814680276,-0.25767894406141506,-0.0446447080857193,-0.08227102067165437,-0.09027569734259598,-0.0929498726677451,-0.1991135194438517,-0.08447037523171641,-0.38378162563280044,0.29160480286353463
Width,0.16540967281415445,0.32954642802884077,0.6903885233654249,0.5392331763684043,0.6831305601529915,1.0,0.7103160404035308,0.7175760834729273,0.6563750336782117,-0.5990290189744952,0.512229281874957,0.06593764483374348,-0.07647730113209798,0.10624073972853218,0.17521835473946634,-0.06243063511471399,0.05062328820959451,0.285109926142539,0.13597878237231503,-0.03628168711646335,-0.12530528260609872,-0.02208502843136196,0.010592785430728165,-0.0683393042197614,0.05155537012192352,0.2476862425425349,-0.07441255481604037,0.07867483967510766,-0.13336319615777556,-0.07038493745011883,0.006033403371931961,0.16398484109433759,0.04283839776553966,-0.05884497448870696,-0.07107260195574752,-0.19596421871769226,-0.10750007890413049,-0.1119559032135377,-0.1828343310163202,-0.09179039751634277,-0.24204301670988956,0.05215707003104655
Length,0.037985412466492785,0.15596825570637474,0.5413998581616386,0.39329379916294016,0.839606471124428,0.7103160404035308,1.0,0.6246471204158339,0.5634177250608857,-0.44353740004046166,0.3533642871915609,0.021468898859820205,-0.07683640966429253,0.14602373989555467,0.18499570065636764,-0.03987860558256129,0.14098433143296496,0.16880098772579205,0.16356577768189084,-0.04304061453400764,-0.1252918631566752,0.03811151931752865,0.02371366441593975,-0.21279055975083264,0.034395744559726056,0.23202353130153597,-0.13637133597137527,0.10509308740899088,-0.08169529680352364,-0.01949299151212724,0.09588251809412184,-0.11203153071942354,0.09413997795347127,-0.1465564866317492,-0.014019317351868364,-0.060163722826014364,-0.058278291389244334,-0.10146971008605972,-0.2976826193871713,-0.057958882894770594,-0.13447284757993003,0.2208831636211575
Curb_weight,0.2688678673441018,0.5227696980481173,0.7541201834428972,0.6046435278800181,0.6499843194303814,0.7175760834729273,0.6246471204158339,1.0,0.8638090532427077,-0.8175390367150868,0.6064582421883805,0.024459254273258044,-0.02121102278691726,0.049826256961163946,0.21011437027500413,-0.15835843189155713,-0.025103599348130497,0.10836108204982008,0.03591428440769245,-0.014686676107495862,-0.16351155979333604,-0.004560134135714955,0.03492945151375329,-0.001020737169776308,0.19310284598167043,0.2420822221244357,0.11749952000368404,0.0293994997107604,-0.04615636271914387,0.011466928573347626,0.06557703479825437,-0.10559506854947277,0.008065394460635422,-0.09295731448177662,-0.04412399316215703,-0.21793702786262914,-0.019566893273179915,-0.06915543901689121,-0.1592025030615421,-0.02965500609382499,-0.5170240203066635,-0.04777302443932544
Fuel_capacity,0.2600779366683958,0.423697331058372,0.6630074158290574,0.49999616537494784,0.6540364942824098,0.6563750336782117,0.5634177250608857,0.8638090532427077,1.0,-0.8013486871438167,0.5014307989811644,0.05730236565106962,-0.025786448041613074,-0.008250109952065363,0.1339242039557429,-0.15761173665237577,-0.07612193227143703,0.2582266611689527,0.07932208313806972,-0.040706499501082016,-0.1233254902025886,0.011457034713807298,0.00938473696027302,0.06814003700228873,0.1334331206008082,0.18253767904293874,0.06223703162892438,-0.005871451657666555,0.018931273224302627,0.014138674627878567,0.013046453216941017,-0.11810718794867617,-0.0015719278225286026,-0.034215747981451154,-0.0072660047478759525,-0.25570881719792615,-0.04548743693966559,-0.011518684181576887,-0.16753354785885954,-0.005871451657666778,-0.5898700168261591,-0.011748769190305399
Fuel_efficiency,-0.33475845086982287,-0.4924159526773252,-0.7338985161119395,-0.6104429611755716,-0.4968075055864974,-0.5990290189744952,-0.44353740004046166,-0.8175390367150868,-0.8013486871438167,1.0,-0.6070778475212621,-0.01696192305929712,0.038059190996687184,0.01540726387982812,-0.13929763724135882,0.2681480323527344,0.0297089237621912,-0.2202578715949319,-0.06680290797477316,0.049456399255954915,0.12609297348626197,0.021832174121489027,-0.05391702669782137,-0.1710210424160533,-0.1420960496178858,-0.14901259679365955,-0.023487720198384406,-0.008508745486100963,-0.050584208221070626,-0.07978171076043836,-0.03208297562700408,0.05365138133647694,0.04649779150934007,-0.060978814304084375,-0.02276048438425347,0.28110908041174976,0.017540974807413567,0.08020499181979111,0.10936240521841527,0.03078163808207143,0.5684170284894033,0.11030700894331906
Power_perf_factor,0.7133305796073486,0.8979451528259388,0.8181656322306089,0.9904422689005996,0.25895771151503966,0.512229281874957,0.3533642871915609,0.6064582421883805,0.5014307989811644,-0.6070778475212621,1.0,0.09537415998706585,0.011445917392915879,0.04703513164095194,0.22039470632004585,-0.07859455601709672,0.006474807765234102,0.04304035070516238,-0.08632379406577774,-0.08569337102083893,-0.15114544437238936,0.04968608326481432,0.08100145862573561,-0.04724606067851735,0.22334284317056313,0.18777872881979238,0.2619761392092408,-0.08169540613660313,-0.080560744726403,-0.0678235875895783,0.008047190018953357,-0.05596815571097165,-0.014394945922864855,0.24806019437500476,-0.01010763720745231,-0.2085926891179264,-0.04430710229712282,-0.1088004177843544,-0.21529639588035884,-0.00012946112071099975,0.0024298087161150226,-0.43255970481106687
Manufacturer_Audi,0.15255289357040025,0.1241126005673119,-0.017100680157890014,0.08448645604914629,0.011322386730516255,0.06593764483374348,0.021468898859820205,0.024459254273258044,0.05730236565106962,-0.01696192305929712,0.09537415998706585,1.0,-0.0194805194805195,-0.022567556955543192,-0.02531415734049217,-0.034418398925954906,-0.030151134457776348,-0.038310708317909725,-0.038310708317909774,-0.025314157340492194,-0.019480519480519484,-0.011174753906691856,-0.011174753906691853,-0.019480519480519484,-0.02782194056332848,-0.019480519480519487,-0.03441839892595505,-0.027821940563328484,-0.030151134457776386,-0.030151134457776375,-0.02782194056332851,-0.022567556955543196,-0.02782194056332851,-0.01948051948051949,-0.01585438556627543,-0.025314157340492183,-0.01585438556627543,-0.03441839892595507,-0.027821940563328505,-0.027821940563328505,0.082978045429421,-0.12913166758995592
Manufacturer_BMW,0.12581983343647513,0.05656626596418742,-0.04847571770967811,-0.0013911456173934364,0.0217392947566274,-0.07647730113209798,-0.07683640966429253,-0.02121102278691726,-0.025786448041613074,0.038059190996687184,0.011445917392915879,-0.0194805194805195,1.0,-0.022567556955543192,-0.02531415734049217,-0.034418398925954906,-0.030151134457776348,-0.038310708317909725,-0.038310708317909774,-0.025314157340492194,-0.019480519480519484,-0.011174753906691856,-0.011174753906691853,-0.019480519480519484,-0.02782194056332848,-0.019480519480519487,-0.03441839892595505,-0.027821940563328484,-0.030151134457776386,-0.030151134457776375,-0.02782194056332851,-0.022567556955543196,-0.02782194056332851,-0.01948051948051949,-0.01585438556627543,-0.025314157340492183,-0.01585438556627543,-0.03441839892595507,-0.027821940563328505,-0.027821940563328505,0.082978045429421,-0.07486594461862137
Manufacturer_Buick,-0.035682293670325466,-0.0062639370333613135,0.08793222815485494,0.058415080720758426,0.07487461488802755,0.10624073972853218,0.14602373989555467,0.049826256961163946,-0.008250109952065363,0.01540726387982812,0.04703513164095194,-0.022567556955543192,-0.022567556955543192,1.0,-0.029325639294907817,-0.03987261114144499,-0.03492912213303888,-0.044381726721210386,-0.044381726721210414,-0.029325639294907755,-0.022567556955543192,-0.012945593956343628,-0.01294559395634363,-0.022567556955543185,-0.03223082571820154,-0.022567556955543196,-0.03987261114144501,-0.032230825718201545,-0.03492912213303893,-0.03492912213303894,-0.032230825718201545,-0.026143790849673207,-0.03223082571820154,-0.02256755695554321,-0.018366797128785875,-0.029325639294907804,-0.01836679712878588,-0.039872611141445025,-0.03223082571820156,-0.03223082571820154,0.09612740400278956,0.08584781007526551
Manufacturer_Cadillac,0.07812921830153188,0.16477331789048558,0.25152386445279495,0.22567338825052655,0.10978598475336353,0.17521835473946634,0.18499570065636764,0.21011437027500413,0.1339242039557429,-0.13929763724135882,0.22039470632004585,-0.02531415734049217,-0.02531415734049217,-0.029325639294907817,1.0,-0.044725335312065226,-0.03918019549846887,-0.049783235973510476,-0.0497832359735105,-0.03289473684210528,-0.025314157340492183,-0.014521146569944214,-0.014521146569944207,-0.025314157340492215,-0.03615350102147986,-0.025314157340492173,-0.04472533531206523,-0.03615350102147983,-0.039180195498468934,-0.039180195498468934,-0.036153501021479816,-0.029325639294907762,-0.03615350102147978,-0.025314157340492152,-0.02060214108575821,-0.032894736842105254,-0.02060214108575821,-0.04472533531206522,-0.03615350102147979,-0.03615350102147978,0.025247217316078697,-0.08225256795131382
Manufacturer_Chevrolet,-0.09343257350902749,-0.1267301060031356,-0.0011769377073689526,-0.06470589310659493,-0.115324225023149,-0.06243063511471399,-0.03987860558256129,-0.15835843189155713,-0.15761173665237577,0.2681480323527344,-0.07859455601709672,-0.034418398925954906,-0.034418398925954906,-0.03987261114144499,-0.044725335312065226,1.0,-0.05327136039034323,-0.06768778642378169,-0.06768778642378165,-0.04472533531206524,-0.034418398925955045,-0.01974367974347462,-0.019743679743474612,-0.03441839892595508,-0.049156114659079694,-0.03441839892595507,-0.06081081081081084,-0.049156114659079694,-0.0532713603903434,-0.05327136039034335,-0.04915611465907968,-0.039872611141445004,-0.04915611465907967,-0.03441839892595507,-0.028011705113493202,-0.044725335312065274,-0.028011705113493195,-0.06081081081081084,-0.04915611465907969,-0.049156114659079694,0.14660653544387292,0.09454270702048985
